category,is_code,asset_count
algorithm,False,1
code,True,13
data_or_table,False,95
other_supplementary,False,15
peer_review,False,1
reporting_summary,False,253
source_data,False,533
supplementary_information,False,427
supplementary_pdf,False,7
supplementary_table,False,59
video,False,323
